slug,site-address,name,geography,url
/brownfield-land/local-authority-eng/BEN/BR00152,"Former Willesden Amblance Station, 164 Harlesden Road",BR00152,BR00152,https://digital-land.github.io/brownfield-land/local-authority-eng/BEN/BR00152
,,,,
/brownfield-land/local-authority-eng/BEN/BR00023,"85A,85B,87A & B, Salusbury Road, London, NW6",BR00023,BR00023,https://digital-land.github.io/brownfield-land/local-authority-eng/BEN/BR00023
/brownfield-land/local-authority-eng/BEN/BR00138,"85-87 Salusbury Road, NW6 6NH",BR00138,BR00138,https://digital-land.github.io/brownfield-land/local-authority-eng/BEN/BR00138
,,,,
/brownfield-land/local-authority-eng/BIR/N594,"Former Birmingham City University Campus, Perry Barr",N594,N594,https://digital-land.github.io/brownfield-land/local-authority-eng/BIR/N594
/brownfield-land/local-authority-eng/BIR/N594H,"Former Birmingham City University Campus - Plot 8, Perry Barr",N594H,N594H,https://digital-land.github.io/brownfield-land/local-authority-eng/BIR/N594H
,,,,
/brownfield-land/local-authority-eng/BIR/N9,"Wellington Road, Aston, Handsworth Wood",N9,N9,https://digital-land.github.io/brownfield-land/local-authority-eng/BIR/N9
/brownfield-land/local-authority-eng/BIR/N9B,"Land off Lea Hill Road, Handsworth Wood",N9B,N9B,https://digital-land.github.io/brownfield-land/local-authority-eng/BIR/N9B
,,,,
/brownfield-land/local-authority-eng/BIR/S962,"27 Fountain Road, North Edgbaston",S962,S962,https://digital-land.github.io/brownfield-land/local-authority-eng/BIR/S962
/brownfield-land/local-authority-eng/BIR/S963,"29 Fountain Road, North Edgbaston",S963,S963,https://digital-land.github.io/brownfield-land/local-authority-eng/BIR/S963
,,,,
/brownfield-land/local-authority-eng/BMH/B-BLR-0001,"22 to 22a (car park) St Stephens Road, BH2 6JP",B/BLR/0001,B/BLR/0001,https://digital-land.github.io/brownfield-land/local-authority-eng/BMH/B-BLR-0001
/brownfield-land/local-authority-eng/BPC/B-BLR-0001,"Car Park, 22-22a, St Stephen's Road",B/BLR/0001,B/BLR/0001,https://digital-land.github.io/brownfield-land/local-authority-eng/BPC/B-BLR-0001
,,,,
/brownfield-land/local-authority-eng/BMH/B-BLR-0085,"Asda, St. Pauls Road",B/BLR/0085,B/BLR/0085,https://digital-land.github.io/brownfield-land/local-authority-eng/BMH/B-BLR-0085
/brownfield-land/local-authority-eng/BPC/B-BLR-0085," Asda, St. Paul's Road",B/BLR/0085,B/BLR/0085,https://digital-land.github.io/brownfield-land/local-authority-eng/BPC/B-BLR-0085
,,,,
/brownfield-land/local-authority-eng/BMH/B-BLR-0088,Eden Glen,B/BLR/0088,B/BLR/0088,https://digital-land.github.io/brownfield-land/local-authority-eng/BMH/B-BLR-0088
/brownfield-land/local-authority-eng/BPC/B-BLR-0025,"Sandringham Mansions, 21-31 and 39-51 Exeter Road",B/BLR/0025,B/BLR/0025,https://digital-land.github.io/brownfield-land/local-authority-eng/BPC/B-BLR-0025
/brownfield-land/local-authority-eng/BPC/B-BLR-0088, Eden Glen,B/BLR/0088,B/BLR/0088,https://digital-land.github.io/brownfield-land/local-authority-eng/BPC/B-BLR-0088
,,,,
/brownfield-land/local-authority-eng/BNE/17-6593-FUL,"Britannia House, 960 High Road, N12 9RY",17/6593/FUL,17/6593/FUL,https://digital-land.github.io/brownfield-land/local-authority-eng/BNE/17-6593-FUL
/brownfield-land/local-authority-eng/BNE/F-05325-13,"Britannia House, 958-964 High Road, London",F/05325/13,F/05325/13,https://digital-land.github.io/brownfield-land/local-authority-eng/BNE/F-05325-13
,,,,
/brownfield-land/local-authority-eng/BNE/17-7210-PNO,"Kingmaker House, 15, Station Road,Oakleigh,EN5 1NZ",17/7210/PNO,17/7210/PNO,https://digital-land.github.io/brownfield-land/local-authority-eng/BNE/17-7210-PNO
/brownfield-land/local-authority-eng/BNE/18-5067-PNO,"Kingmaker House, Station Road, Barnet, EN5 1NZ",18/5067/PNO,18/5067/PNO,https://digital-land.github.io/brownfield-land/local-authority-eng/BNE/18-5067-PNO
,,,,
/brownfield-land/local-authority-eng/BNE/17-7456-FUL,"Myddleton Tennis Club, 1060, High Road,Totteridge,N20 0QP",17/7456/FUL,17/7456/FUL,https://digital-land.github.io/brownfield-land/local-authority-eng/BNE/17-7456-FUL
/brownfield-land/local-authority-eng/BNE/18-6390-FUL,"Myddleton Tennis Club, 1060 High Road, London, N20 0QP",18/6390/FUL,18/6390/FUL,https://digital-land.github.io/brownfield-land/local-authority-eng/BNE/18-6390-FUL
,,,,
/brownfield-land/local-authority-eng/BPC/B-BLR-0044,"Rowland House, Hinton Road ",B/BLR/0044,B/BLR/0044,https://digital-land.github.io/brownfield-land/local-authority-eng/BPC/B-BLR-0044
/brownfield-land/local-authority-eng/BPC/B-BLR-0125,21 Hinton Road,B/BLR/0125,B/BLR/0125,https://digital-land.github.io/brownfield-land/local-authority-eng/BPC/B-BLR-0125
,,,,
/brownfield-land/local-authority-eng/BPL/BR011,"585 - 593 Promenade & 1 Wimbourne Place, Blackpool, FY4 1NQ",BR011,BR011,https://digital-land.github.io/brownfield-land/local-authority-eng/BPL/BR011
/brownfield-land/local-authority-eng/BPL/SS-083,"585 - 593 Promenade & 1 Wimbourne Place, FY4 1NQ",SS/083,SS/083,https://digital-land.github.io/brownfield-land/local-authority-eng/BPL/SS-083
,,,,
/brownfield-land/local-authority-eng/BRA/20-01118-COUPA,"Unit 1, The Mazes, East Street, Braintree",20/01118/COUPA,20/01118/COUPA,https://digital-land.github.io/brownfield-land/local-authority-eng/BRA/20-01118-COUPA
/brownfield-land/local-authority-eng/BRA/20-01123-COUPA,"Unit 3, The Mazes, East Street, Braintree",20/01123/COUPA,20/01123/COUPA,https://digital-land.github.io/brownfield-land/local-authority-eng/BRA/20-01123-COUPA
,,,,
/brownfield-land/local-authority-eng/BRC/Map-Ref-17-17-00170-PAC,2 The Braccans London Road Bracknell,Map Ref 17 17/00170/PAC,Map Ref 17 17/00170/PAC,https://digital-land.github.io/brownfield-land/local-authority-eng/BRC/Map-Ref-17-17-00170-PAC
/brownfield-land/local-authority-eng/BRC/Map-Ref-44-18-00357-FUL,"The Braccans, London Road, Bracknell",Map Ref 44 18/00357/FUL,Map Ref 44 18/00357/FUL,https://digital-land.github.io/brownfield-land/local-authority-eng/BRC/Map-Ref-44-18-00357-FUL
,,,,
/brownfield-land/local-authority-eng/BRC/Map-ref-1-Policy-SA1-SALP--July-2013-,The Depot (Commercial Centre) Old Bracknell Lane West Bracknell,Map ref 1 Policy SA1 SALP (July 2013),Map ref 1 Policy SA1 SALP (July 2013),https://digital-land.github.io/brownfield-land/local-authority-eng/BRC/Map-ref-1-Policy-SA1-SALP--July-2013-
/brownfield-land/local-authority-eng/BRC/Map-ref-7-Policy-SA1-Residual-SALP--July-2013-,Old Bracknell Lane West Bracknell,Map ref 7 Policy SA1 Residual SALP (July 2013),Map ref 7 Policy SA1 Residual SALP (July 2013),https://digital-land.github.io/brownfield-land/local-authority-eng/BRC/Map-ref-7-Policy-SA1-Residual-SALP--July-2013-
/brownfield-land/local-authority-eng/BRC/Map-ref-7-Policy-SA1-Residual-SALP-July-2013,Old Bracknell Lane West Bracknell,Map ref 7 Policy SA1 Residual SALP July 2013,Map ref 7 Policy SA1 Residual SALP July 2013,https://digital-land.github.io/brownfield-land/local-authority-eng/BRC/Map-ref-7-Policy-SA1-Residual-SALP-July-2013
,,,,
/brownfield-land/local-authority-eng/BRD/BU-011,"Greenholme Mills, Great Pasture Lane, Burley in Wharfedale",BU/011,BU/011,https://digital-land.github.io/brownfield-land/local-authority-eng/BRD/BU-011
/brownfield-land/local-authority-eng/BRD/BU-016,"Burley House, Main Street, Burley in Wharfedale",BU/016,BU/016,https://digital-land.github.io/brownfield-land/local-authority-eng/BRD/BU-016
,,,,
/brownfield-land/local-authority-eng/BRD/KY-095,"Woodville Road, Spring Gardens Lane, Keighley",KY/095,KY/095,https://digital-land.github.io/brownfield-land/local-authority-eng/BRD/KY-095
/brownfield-land/local-authority-eng/BRD/KY-104,"Oxford Sreet, Keighley",KY/104,KY/104,https://digital-land.github.io/brownfield-land/local-authority-eng/BRD/KY-104
,,,,
