slug,name,geography,url
/brownfield-site/development-corporation/Q20648596/OPDC-BLR-12,Oaklands North,brownfield-site:OPDC/BLR/12,https://digital-land.github.io/brownfield-site/development-corporation/Q20648596/OPDC-BLR-12
/brownfield-land/development-corporation/Q20648596/DCS15,DCS15,DCS15,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS15
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-12,OPDC/BLR/12,OPDC/BLR/12,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-12
,,,
/brownfield-site/development-corporation/Q20648596/OPDC-BLR-13,"Oaklands, Old Oak Common Lane, London, NW10 6DU",brownfield-site:OPDC/BLR/13,https://digital-land.github.io/brownfield-site/development-corporation/Q20648596/OPDC-BLR-13
/brownfield-land/development-corporation/Q20648596/DCS16,DCS16,DCS16,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS16
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-13,OPDC/BLR/13,OPDC/BLR/13,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-13
,,,
/brownfield-site/development-corporation/Q20648596/OPDC-BLR-14,Old Oak Common Lane sites (North),brownfield-site:OPDC/BLR/14,https://digital-land.github.io/brownfield-site/development-corporation/Q20648596/OPDC-BLR-14
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-14,OPDC/BLR/14,OPDC/BLR/14,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-14
,,,
/brownfield-site/development-corporation/Q20648596/OPDC-BLR-16,Big Yellow Storage,brownfield-site:OPDC/BLR/16,https://digital-land.github.io/brownfield-site/development-corporation/Q20648596/OPDC-BLR-16
/brownfield-land/development-corporation/Q20648596/DCS19,DCS19,DCS19,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS19
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-16,OPDC/BLR/16,OPDC/BLR/16,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-16
,,,
/brownfield-site/development-corporation/Q20648596/OPDC-BLR-17,Mitre Industrial Estate,brownfield-site:OPDC/BLR/17,https://digital-land.github.io/brownfield-site/development-corporation/Q20648596/OPDC-BLR-17
/brownfield-land/development-corporation/Q20648596/DCS21,DCS21,DCS21,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS21
/brownfield-land/development-corporation/Q20648596/DCS22,DCS22,DCS22,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS22
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-17,OPDC/BLR/17,OPDC/BLR/17,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-17
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-18,OPDC/BLR/18,OPDC/BLR/18,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-18
,,,
/brownfield-site/development-corporation/Q20648596/OPDC-BLR-19,Acton Wells,brownfield-site:OPDC/BLR/19,https://digital-land.github.io/brownfield-site/development-corporation/Q20648596/OPDC-BLR-19
/brownfield-land/development-corporation/Q20648596/DCS13,DCS13,DCS13,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS13
/brownfield-land/development-corporation/Q20648596/DCS23,DCS23,DCS23,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS23
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-11,OPDC/BLR/11,OPDC/BLR/11,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-11
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-19,OPDC/BLR/19,OPDC/BLR/19,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-19
,,,
/brownfield-site/development-corporation/Q20648596/OPDC-BLR-2,2 Scrubs Lane,brownfield-site:OPDC/BLR/2,https://digital-land.github.io/brownfield-site/development-corporation/Q20648596/OPDC-BLR-2
/brownfield-land/development-corporation/Q20648596/DCS2,DCS2,DCS2,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS2
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-2,OPDC/BLR/2,OPDC/BLR/2,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-2
,,,
/brownfield-site/development-corporation/Q20648596/OPDC-BLR-20,Boden House,brownfield-site:OPDC/BLR/20,https://digital-land.github.io/brownfield-site/development-corporation/Q20648596/OPDC-BLR-20
/brownfield-land/development-corporation/Q20648596/DCS24,DCS24,DCS24,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS24
