slug,name,geography,url
/conservation-area/local-authority-eng/DUD/79,LOVE LANE OLDSWINFORD,conservation-area:79,https://digital-land.github.io//conservation-area/local-authority-eng/DUD/79
/conservation-area/local-authority-eng/DUD/80,LOVE LANE OLDSWINFORD,conservation-area:80,https://digital-land.github.io//conservation-area/local-authority-eng/DUD/80
,,,
/conservation-area/local-authority-eng/DUD/81,"Market Street, Stourbridge",conservation-area:81,https://digital-land.github.io//conservation-area/local-authority-eng/DUD/81
/conservation-area/local-authority-eng/DUD/71,HIGH STREET STOUBRIDGE.,conservation-area:71,https://digital-land.github.io//conservation-area/local-authority-eng/DUD/71
,,,
/conservation-area/local-authority-eng/DUD/92,MUSHROOM GREEN DUDLEY WOOD.,conservation-area:92,https://digital-land.github.io//conservation-area/local-authority-eng/DUD/92
/conservation-area/local-authority-eng/DUD/97,MUSHROOM GREEN DUDLEY WOOD.,conservation-area:97,https://digital-land.github.io//conservation-area/local-authority-eng/DUD/97
,,,
/conservation-area/local-authority-eng/DUD/94,"The King Arthur, Priory Road, Dudley, West Midlands DY1 4DS",conservation-area:94,https://digital-land.github.io//conservation-area/local-authority-eng/DUD/94
/conservation-area/local-authority-eng/DUD/conservation-areas,"The King Arthur, Priory Road, Dudley, West Midlands DY1 4DS",conservation-area:conservation_areas,https://digital-land.github.io//conservation-area/local-authority-eng/DUD/conservation-areas
,,,
/conservation-area/local-authority-eng/DUD/95,THE LEASOWES HALESOWEN.,conservation-area:95,https://digital-land.github.io//conservation-area/local-authority-eng/DUD/95
/conservation-area/local-authority-eng/DUD/99,THE LEASOWES HALESOWEN.,conservation-area:99,https://digital-land.github.io//conservation-area/local-authority-eng/DUD/99
,,,
/conservation-area/local-authority-eng/EPS/29,Ewell Village (primary retail frontages only),conservation-area:29,https://digital-land.github.io//conservation-area/local-authority-eng/EPS/29
/conservation-area/local-authority-eng/EPS/22,Ewell Village,conservation-area:22,https://digital-land.github.io//conservation-area/local-authority-eng/EPS/22
,,,
/conservation-area/local-authority-eng/EPS/44,"Adephi Court, East Street, Epsom (Change of Use)",conservation-area:44,https://digital-land.github.io//conservation-area/local-authority-eng/EPS/44
/conservation-area/local-authority-eng/EPS/1,Adelphi Road,conservation-area:1,https://digital-land.github.io//conservation-area/local-authority-eng/EPS/1
,,,
/conservation-area/local-authority-eng/GED/123514,CALVERTON C.A.,conservation-area:123514,https://digital-land.github.io//conservation-area/local-authority-eng/GED/123514
/conservation-area/local-authority-eng/GED/92,CALVERTON C.A.,conservation-area:92,https://digital-land.github.io//conservation-area/local-authority-eng/GED/92
,,,
/conservation-area/local-authority-eng/GED/2,LNP - Conservation Area,conservation-area:2,https://digital-land.github.io//conservation-area/local-authority-eng/GED/2
/conservation-area/local-authority-eng/GED/90,LINBY C.A.,conservation-area:90,https://digital-land.github.io//conservation-area/local-authority-eng/GED/90
,,,
/conservation-area/local-authority-eng/HMF/21,Hammersmith Odeon,conservation-area:21,https://digital-land.github.io//conservation-area/local-authority-eng/HMF/21
/conservation-area/local-authority-eng/HMF/44,Hammersmith Odeon,conservation-area:44,https://digital-land.github.io//conservation-area/local-authority-eng/HMF/44
,,,
/conservation-area/local-authority-eng/HMF/3,Cleverly Estate,conservation-area:3,https://digital-land.github.io//conservation-area/local-authority-eng/HMF/3
/conservation-area/local-authority-eng/HMF/43,Cleverly Estate,conservation-area:43,https://digital-land.github.io//conservation-area/local-authority-eng/HMF/43
,,,
/conservation-area/local-authority-eng/LBH/CA1,Clapham,conservation-area:CA1,https://digital-land.github.io//conservation-area/local-authority-eng/LBH/CA1
/conservation-area/local-authority-eng/LBH/COA00000265,Clapham COA00000265,conservation-area:COA00000265,https://digital-land.github.io//conservation-area/local-authority-eng/LBH/COA00000265
,,,
/conservation-area/local-authority-eng/LBH/CA10,Lambeth Palace,conservation-area:CA10,https://digital-land.github.io//conservation-area/local-authority-eng/LBH/CA10
/conservation-area/local-authority-eng/LBH/COA00000232,Lambeth Palace COA00000232,conservation-area:COA00000232,https://digital-land.github.io//conservation-area/local-authority-eng/LBH/COA00000232
,,,
/conservation-area/local-authority-eng/LBH/CA11,St Marks,conservation-area:CA11,https://digital-land.github.io//conservation-area/local-authority-eng/LBH/CA11
/conservation-area/local-authority-eng/LBH/COA00000222,St Marks COA00000222,conservation-area:COA00000222,https://digital-land.github.io//conservation-area/local-authority-eng/LBH/COA00000222
,,,
/conservation-area/local-authority-eng/LBH/CA12,Streatham Park & Garrads Road,conservation-area:CA12,https://digital-land.github.io//conservation-area/local-authority-eng/LBH/CA12
/conservation-area/local-authority-eng/LBH/COA00000226,Streatham Park & Garrads Road COA00000226,conservation-area:COA00000226,https://digital-land.github.io//conservation-area/local-authority-eng/LBH/COA00000226
,,,
