slug,name,geography,url
/conservation-area/local-authority-eng/CMD/COA00000438,Fitzroy Square COA00000438,conservation-area:COA00000438,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/COA00000438
/conservation-area/local-authority-eng/CMD/kml-1,Fitzroy Square,conservation-area:kml_1,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-1
/conservation-area/local-authority-eng/CMD/kml-130,Fitzroy Square,conservation-area:kml_130,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-130
/conservation-area/local-authority-eng/CMD/kml-172,Fitzroy Square,conservation-area:kml_172,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-172
/conservation-area/local-authority-eng/CMD/kml-2,Fitzroy Square,conservation-area:kml_2,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-2
,,,
/conservation-area/local-authority-eng/CMD/COA00000462,Seven Dials (Covent Garden) COA00000462,conservation-area:COA00000462,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/COA00000462
/conservation-area/local-authority-eng/CMD/kml-104,Seven Dials (Covent Garden),conservation-area:kml_104,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-104
/conservation-area/local-authority-eng/CMD/kml-203,Seven Dials (Covent Garden),conservation-area:kml_203,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-203
/conservation-area/local-authority-eng/CMD/kml-204,Seven Dials (Covent Garden),conservation-area:kml_204,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-204
/conservation-area/local-authority-eng/CMD/kml-205,Seven Dials (Covent Garden),conservation-area:kml_205,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-205
/conservation-area/local-authority-eng/CMD/kml-206,Seven Dials (Covent Garden),conservation-area:kml_206,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-206
,,,
/conservation-area/local-authority-eng/CMD/COA00000459,West End Green COA00000459,conservation-area:COA00000459,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/COA00000459
/conservation-area/local-authority-eng/CMD/kml-107,West End Green,conservation-area:kml_107,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-107
/conservation-area/local-authority-eng/CMD/kml-145,West End Green,conservation-area:kml_145,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-145
/conservation-area/local-authority-eng/CMD/kml-21,West End Green,conservation-area:kml_21,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-21
,,,
/conservation-area/local-authority-eng/CMD/COA00000456,Redington Frognal COA00000456,conservation-area:COA00000456,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/COA00000456
/conservation-area/local-authority-eng/CMD/kml-108,Redington Frognal,conservation-area:kml_108,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-108
/conservation-area/local-authority-eng/CMD/kml-109,Redington Frognal,conservation-area:kml_109,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-109
/conservation-area/local-authority-eng/CMD/kml-110,Redington Frognal,conservation-area:kml_110,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-110
/conservation-area/local-authority-eng/CMD/kml-111,Redington Frognal,conservation-area:kml_111,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-111
/conservation-area/local-authority-eng/CMD/kml-112,Redington Frognal,conservation-area:kml_112,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-112
/conservation-area/local-authority-eng/CMD/kml-113,Redington Frognal,conservation-area:kml_113,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-113
/conservation-area/local-authority-eng/CMD/kml-179,Redington Frognal,conservation-area:kml_179,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-179
,,,
/conservation-area/local-authority-eng/CMD/COA00000437,Fitzjohns Netherhall COA00000437,conservation-area:COA00000437,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/COA00000437
/conservation-area/local-authority-eng/CMD/kml-114,Fitzjohns Netherhall,conservation-area:kml_114,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-114
/conservation-area/local-authority-eng/CMD/kml-22,Fitzjohns Netherhall,conservation-area:kml_22,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-22
/conservation-area/local-authority-eng/CMD/kml-23,Fitzjohns Netherhall,conservation-area:kml_23,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-23
/conservation-area/local-authority-eng/CMD/kml-24,Fitzjohns Netherhall,conservation-area:kml_24,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-24
/conservation-area/local-authority-eng/CMD/kml-25,Fitzjohns Netherhall,conservation-area:kml_25,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-25
/conservation-area/local-authority-eng/CMD/kml-28,Fitzjohns Netherhall,conservation-area:kml_28,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-28
/conservation-area/local-authority-eng/CMD/kml-53,Fitzjohns Netherhall,conservation-area:kml_53,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-53
/conservation-area/local-authority-eng/CMD/kml-54,Fitzjohns Netherhall,conservation-area:kml_54,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-54
/conservation-area/local-authority-eng/CMD/kml-55,Fitzjohns Netherhall,conservation-area:kml_55,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-55
/conservation-area/local-authority-eng/CMD/kml-56,Fitzjohns Netherhall,conservation-area:kml_56,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-56
,,,
/conservation-area/local-authority-eng/CMD/COA00000426,Belsize Park COA00000426,conservation-area:COA00000426,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/COA00000426
/conservation-area/local-authority-eng/CMD/kml-117,Belsize Park,conservation-area:kml_117,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-117
/conservation-area/local-authority-eng/CMD/kml-118,Belsize Park,conservation-area:kml_118,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-118
/conservation-area/local-authority-eng/CMD/kml-119,Belsize Park,conservation-area:kml_119,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-119
/conservation-area/local-authority-eng/CMD/kml-120,Belsize Park,conservation-area:kml_120,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-120
/conservation-area/local-authority-eng/CMD/kml-121,Belsize Park,conservation-area:kml_121,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-121
/conservation-area/local-authority-eng/CMD/kml-122,Belsize Park,conservation-area:kml_122,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-122
/conservation-area/local-authority-eng/CMD/kml-124,Belsize Park,conservation-area:kml_124,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-124
/conservation-area/local-authority-eng/CMD/kml-125,Belsize Park,conservation-area:kml_125,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-125
/conservation-area/local-authority-eng/CMD/kml-126,Belsize Park,conservation-area:kml_126,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-126
/conservation-area/local-authority-eng/CMD/kml-127,Belsize Park,conservation-area:kml_127,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-127
/conservation-area/local-authority-eng/CMD/kml-128,Belsize Park,conservation-area:kml_128,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-128
/conservation-area/local-authority-eng/CMD/kml-27,Belsize Park,conservation-area:kml_27,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-27
,,,
/conservation-area/local-authority-eng/CMD/COA00000429,Camden Square COA00000429,conservation-area:COA00000429,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/COA00000429
/conservation-area/local-authority-eng/CMD/kml-12,Camden Square,conservation-area:kml_12,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-12
/conservation-area/local-authority-eng/CMD/kml-13,Camden Square,conservation-area:kml_13,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-13
/conservation-area/local-authority-eng/CMD/kml-185,Camden Square,conservation-area:kml_185,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-185
/conservation-area/local-authority-eng/CMD/kml-186,Camden Square,conservation-area:kml_186,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-186
/conservation-area/local-authority-eng/CMD/kml-187,Camden Square,conservation-area:kml_187,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-187
,,,
/conservation-area/local-authority-eng/CMD/COA00000431,Dartmouth Park COA00000431,conservation-area:COA00000431,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/COA00000431
/conservation-area/local-authority-eng/CMD/kml-133,Dartmouth Park,conservation-area:kml_133,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-133
/conservation-area/local-authority-eng/CMD/kml-135,Dartmouth Park,conservation-area:kml_135,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-135
/conservation-area/local-authority-eng/CMD/kml-138,Dartmouth Park,conservation-area:kml_138,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-138
/conservation-area/local-authority-eng/CMD/kml-139,Dartmouth Park,conservation-area:kml_139,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-139
/conservation-area/local-authority-eng/CMD/kml-184,Dartmouth Park,conservation-area:kml_184,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-184
/conservation-area/local-authority-eng/CMD/kml-41,Dartmouth Park,conservation-area:kml_41,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-41
/conservation-area/local-authority-eng/CMD/kml-42,Dartmouth Park,conservation-area:kml_42,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-42
,,,
/conservation-area/local-authority-eng/CMD/COA00000442,Highgate Village COA00000442,conservation-area:COA00000442,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/COA00000442
/conservation-area/local-authority-eng/CMD/kml-134,Highgate Village,conservation-area:kml_134,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-134
/conservation-area/local-authority-eng/CMD/kml-136,Highgate Village,conservation-area:kml_136,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-136
/conservation-area/local-authority-eng/CMD/kml-182,Highgate Village,conservation-area:kml_182,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-182
/conservation-area/local-authority-eng/CMD/kml-183,Highgate Village,conservation-area:kml_183,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-183
,,,
/conservation-area/local-authority-eng/CMD/COA00000433,Camden Town COA00000433,conservation-area:COA00000433,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/COA00000433
/conservation-area/local-authority-eng/CMD/kml-14,Camden Town,conservation-area:kml_14,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-14
/conservation-area/local-authority-eng/CMD/kml-36,Camden Town,conservation-area:kml_36,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-36
/conservation-area/local-authority-eng/CMD/kml-37,Camden Town,conservation-area:kml_37,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-37
,,,
/conservation-area/local-authority-eng/CMD/COA00000446,Kentish Town COA00000446,conservation-area:COA00000446,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/COA00000446
/conservation-area/local-authority-eng/CMD/kml-144,Kentish Town,conservation-area:kml_144,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-144
/conservation-area/local-authority-eng/CMD/kml-78,Kentish Town,conservation-area:kml_78,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-78
/conservation-area/local-authority-eng/CMD/kml-79,Kentish Town,conservation-area:kml_79,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-79
/conservation-area/local-authority-eng/CMD/kml-80,Kentish Town,conservation-area:kml_80,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/kml-80
,,,
/conservation-area/local-authority-eng/CMD/COA00000430,Charlotte Street COA00000430,conservation-area:COA00000430,https://digital-land.github.io/conservation-area/local-authority-eng/CMD/COA00000430
