slug,site-address,name,geography,url
/brownfield-land/development-corporation/Q20648596/DCS10,North Kensington Gate South,DCS10,DCS10,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS10
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-8,North Kensington Gate South,OPDC/BLR/8,OPDC/BLR/8,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-8
,,,,
/brownfield-land/development-corporation/Q20648596/DCS11,Mitre Wharf,DCS11,DCS11,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS11
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-9,Mitre Wharf,OPDC/BLR/9,OPDC/BLR/9,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-9
,,,,
/brownfield-land/development-corporation/Q20648596/DCS12,Willesden Junction Depot,DCS12,DCS12,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS12
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-10,Willesden Junction Depot,OPDC/BLR/10,OPDC/BLR/10,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-10
,,,,
/brownfield-land/development-corporation/Q20648596/DCS13,2 Victoria Terrace,DCS13,DCS13,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS13
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-11,2 Victoria Terrace,OPDC/BLR/11,OPDC/BLR/11,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-11
,,,,
/brownfield-land/development-corporation/Q20648596/DCS15,Oaklands North,DCS15,DCS15,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS15
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-12,Oaklands North,OPDC/BLR/12,OPDC/BLR/12,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-12
,,,,
/brownfield-land/development-corporation/Q20648596/DCS16,"Oaklands, Old Oak Common Lane, London, NW10 6DU",DCS16,DCS16,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS16
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-13,"Oaklands, Old Oak Common Lane, London, NW10 6DU",OPDC/BLR/13,OPDC/BLR/13,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-13
,,,,
/brownfield-land/development-corporation/Q20648596/DCS19,Big Yellow Storage,DCS19,DCS19,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS19
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-16,Big Yellow Storage,OPDC/BLR/16,OPDC/BLR/16,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-16
,,,,
/brownfield-land/development-corporation/Q20648596/DCS2,2 Scrubs Lane,DCS2,DCS2,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS2
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-2,2 Scrubs Lane,OPDC/BLR/2,OPDC/BLR/2,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-2
,,,,
/brownfield-land/development-corporation/Q20648596/DCS21,Mitre Industrial Estate,DCS21,DCS21,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS21
