slug,name,geography,url
/brownfield-land/development-corporation/Q20648596/DCS1,DCS1,DCS1,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS1
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-1,OPDC/BLR/1,OPDC/BLR/1,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-1
,,,
/brownfield-land/development-corporation/Q20648596/DCS10,DCS10,DCS10,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS10
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-8,OPDC/BLR/8,OPDC/BLR/8,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-8
,,,
/brownfield-land/development-corporation/Q20648596/DCS11,DCS11,DCS11,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS11
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-9,OPDC/BLR/9,OPDC/BLR/9,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-9
,,,
/brownfield-land/development-corporation/Q20648596/DCS12,DCS12,DCS12,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS12
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-10,OPDC/BLR/10,OPDC/BLR/10,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-10
,,,
/brownfield-land/development-corporation/Q20648596/DCS13,DCS13,DCS13,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS13
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-11,OPDC/BLR/11,OPDC/BLR/11,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-11
,,,
/brownfield-land/development-corporation/Q20648596/DCS15,DCS15,DCS15,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS15
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-12,OPDC/BLR/12,OPDC/BLR/12,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-12
,,,
/brownfield-land/development-corporation/Q20648596/DCS16,DCS16,DCS16,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS16
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-13,OPDC/BLR/13,OPDC/BLR/13,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-13
,,,
/brownfield-land/development-corporation/Q20648596/DCS19,DCS19,DCS19,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS19
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-16,OPDC/BLR/16,OPDC/BLR/16,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-16
,,,
/brownfield-land/development-corporation/Q20648596/DCS2,DCS2,DCS2,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS2
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-2,OPDC/BLR/2,OPDC/BLR/2,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-2
,,,
/brownfield-land/development-corporation/Q20648596/DCS21,DCS21,DCS21,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS21
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-17,OPDC/BLR/17,OPDC/BLR/17,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-17
,,,
/brownfield-land/development-corporation/Q20648596/DCS22,DCS22,DCS22,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS22
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-18,OPDC/BLR/18,OPDC/BLR/18,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-18
,,,
/brownfield-land/development-corporation/Q20648596/DCS23,DCS23,DCS23,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS23
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-19,OPDC/BLR/19,OPDC/BLR/19,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-19
,,,
/brownfield-land/development-corporation/Q20648596/DCS24,DCS24,DCS24,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS24
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-20,OPDC/BLR/20,OPDC/BLR/20,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-20
,,,
/brownfield-land/development-corporation/Q20648596/DCS25,DCS25,DCS25,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS25
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-21,OPDC/BLR/21,OPDC/BLR/21,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-21
,,,
/brownfield-land/development-corporation/Q20648596/DCS26,DCS26,DCS26,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS26
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-22,OPDC/BLR/22,OPDC/BLR/22,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-22
,,,
/brownfield-land/development-corporation/Q20648596/DCS27,DCS27,DCS27,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS27
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-23,OPDC/BLR/23,OPDC/BLR/23,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-23
,,,
/brownfield-land/development-corporation/Q20648596/DCS29,DCS29,DCS29,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/DCS29
/brownfield-land/development-corporation/Q20648596/OPDC-BLR-24,OPDC/BLR/24,OPDC/BLR/24,https://digital-land.github.io/brownfield-land/development-corporation/Q20648596/OPDC-BLR-24
,,,
