source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
07d8e007b883cf1c367e6d9bde63b507,natural-england,ancient-woodland,https://data.gov.uk/dataset/9461f463-c363-4309-ae77-fdcd7e9df7d3/ancient-woodland-england,a623eb0a63ee1bbdb778f6e83ea2e10271596aafebacfcd40272409d404b8e30,ogl3,government-organisation:PB202,ancient-woodland,2021-05-26,2021-04-30,
389de95c36ece9177ef97afb66cc8ed3,natural-england,area-of-outstanding-natural-beauty,https://naturalengland-defra.opendata.arcgis.com/datasets/areas-of-outstanding-natural-beauty-england,4ecea72eff7de59214fa5919fa011081919d523601656fabd053e2a5e19fa96d,ogl3,government-organisation:PB202,area-of-outstanding-natural-beauty,2021-05-25,2020-09-01,
61f27d8a10b9038f59d3ae95365d0cdf,,article-4-direction,,a87e5975ea7cddd88764f557ad4880e06b58a480cb7bace2da8bcf3c1e5c92ba,,local-authority-eng:LBH,article-4-direction,2021-01-29,2021-01-29,
d2f5d4de08db4d6abebf7d23179d3234,,article-4-direction,,a87e5975ea7cddd88764f557ad4880e06b58a480cb7bace2da8bcf3c1e5c92ba,,local-authority-eng:SWK,article-4-direction,2021-01-29,2021-01-29,
e01d30be994ee3220e0e588bef43956c,,article-4-direction,,a87e5975ea7cddd88764f557ad4880e06b58a480cb7bace2da8bcf3c1e5c92ba,,local-authority-eng:BUC,article-4-direction,2021-01-29,2021-01-29,
22a0290c19f918101eab7e89b8923ff3,,article-4-direction,,,,development-corporation:Q20648596,article-4-direction,2021-08-31,,
4daa592fc65753d2477bd18c9a2b3e6c,,article-4-direction,,,,development-corporation:Q6670544,article-4-direction,2021-08-31,,
4429455a8a28b46f13ce5b3faa04e7db,,article-4-direction,,,,development-corporation:Q72456968,article-4-direction,2021-08-31,,
d2c075697656d15de1fd4302cfe84157,,article-4-direction,,,,development-corporation:Q72463795,article-4-direction,2021-08-31,,
981b20be5966a742c711f80bc4963942,,article-4-direction,,,,local-authority-eng:ADU,article-4-direction,2021-08-31,,
575227fa1889c3aa714191aa5dfe25a0,,article-4-direction,,,,local-authority-eng:ALL,article-4-direction,2021-08-31,,
35bd3727aa723504f7646b39ab00eb77,,article-4-direction,,,,local-authority-eng:AMB,article-4-direction,2021-08-31,,
2e80a700ce78b7d45a0ecaaa27d86ada,,article-4-direction,,,,local-authority-eng:ARU,article-4-direction,2021-08-31,,
3c5d2d4b120a44db9ed551d7083709c9,,article-4-direction,,,,local-authority-eng:ASF,article-4-direction,2021-08-31,,
e891a255e11ddf9ff8032dcb8417da2f,,article-4-direction,,,,local-authority-eng:ASH,article-4-direction,2021-08-31,,
9b26eef2228f1a5e36b3a160b3a90b04,,article-4-direction,,,,local-authority-eng:AYL,article-4-direction,2021-08-31,,2020-03-31
0063293b0f009dc098934fc4080380bd,,article-4-direction,,,,local-authority-eng:BAB,article-4-direction,2021-08-31,,
aa6dbf4ed2501653b706af5894781de7,,article-4-direction,,,,local-authority-eng:BAE,article-4-direction,2021-08-31,,
7fcea249fb1031ed21edc7b28b91743e,,article-4-direction,,,,local-authority-eng:BAI,article-4-direction,2021-08-31,,
748f1100749a3efbc653bcceee4b00ae,,article-4-direction,,,,local-authority-eng:BAN,article-4-direction,2021-08-31,,
66df8fac747196e91d88c665ecd1962a,,article-4-direction,,,,local-authority-eng:BAR,article-4-direction,2021-08-31,,
89cdde38c6d34ffd9965bb3319aad023,,article-4-direction,,,,local-authority-eng:BAS,article-4-direction,2021-08-31,,
28a4e3ee2f60e2fa19ca1b1e9a9ccf8c,,article-4-direction,,,,local-authority-eng:BBD,article-4-direction,2021-08-31,,
f8cdd7fee79942aed600612ca3751061,,article-4-direction,,,,local-authority-eng:BDF,article-4-direction,2021-08-31,,
531071f80bb522418409a1250e3c8128,,article-4-direction,,,,local-authority-eng:BDG,article-4-direction,2021-08-31,,
ea626bcf842fe9add747f490bcb93759,,article-4-direction,,,,local-authority-eng:BEN,article-4-direction,2021-08-31,,
2f7c81456b2dc5afc36baf609eeb774a,,article-4-direction,,,,local-authority-eng:BEX,article-4-direction,2021-08-31,,
45cc91ebd2a43cb1752677ec548cdc67,,article-4-direction,,,,local-authority-eng:BIR,article-4-direction,2021-08-31,,
86c0393f0a52fac9b41412947c294677,,article-4-direction,,,,local-authority-eng:BLA,article-4-direction,2021-08-31,,
29be9a1ef32644eddd0720aeb150e2e6,,article-4-direction,,,,local-authority-eng:BMH,article-4-direction,2021-08-31,,2019-03-31
6096a330d865457311db6aa6b3dc33cb,,article-4-direction,,,,local-authority-eng:BNE,article-4-direction,2021-08-31,,
7a2929ea61394e6f8e5900024a22ee5b,,article-4-direction,,,,local-authority-eng:BNH,article-4-direction,2021-08-31,,
b1a66746d954d0980a97c13b58f9fb0a,,article-4-direction,,,,local-authority-eng:BNS,article-4-direction,2021-08-31,,
ab6587075cc7e541a84d909a0e4d8244,,article-4-direction,,,,local-authority-eng:BOL,article-4-direction,2021-08-31,,
89520cc6144e9c9ba93d166430edc8b5,,article-4-direction,,,,local-authority-eng:BOS,article-4-direction,2021-08-31,,
4cab8edd12df1522a21b08b9d2bfa386,,article-4-direction,,,,local-authority-eng:BOT,article-4-direction,2021-08-31,,
4f4e74e7796a37482304ccfc04ad68dc,,article-4-direction,,,,local-authority-eng:BPC,article-4-direction,2021-08-31,,
ff7042e7c8876e58691f88f6d878f893,,article-4-direction,,,,local-authority-eng:BPL,article-4-direction,2021-08-31,,
de6a654805838db0867a2f718121d49a,,article-4-direction,,,,local-authority-eng:BRA,article-4-direction,2021-08-31,,
5760dedfc96ca0f2d8077a43d8f3d4e0,,article-4-direction,,,,local-authority-eng:BRC,article-4-direction,2021-08-31,,
d01b3b162c2295efd2e25b161d3eddbc,,article-4-direction,,,,local-authority-eng:BRD,article-4-direction,2021-08-31,,
24e0e0d9a9f852e4899a8cb03926ce27,,article-4-direction,,,,local-authority-eng:BRE,article-4-direction,2021-08-31,,
c61572f6e9a97dc0b098378a08f1d313,,article-4-direction,,,,local-authority-eng:BRM,article-4-direction,2021-08-31,,
21cbd5e48bc09ebc446030465a675c85,,article-4-direction,,,,local-authority-eng:BRO,article-4-direction,2021-08-31,,
995535a465d5ae4292d50ae43e9434fe,,article-4-direction,,,,local-authority-eng:BRT,article-4-direction,2021-08-31,,
63fcfcb76216b331076c33bc346d0adf,,article-4-direction,,,,local-authority-eng:BRW,article-4-direction,2021-08-31,,
8a927b430de80a2b637ae0b80dc7bccc,,article-4-direction,,,,local-authority-eng:BRX,article-4-direction,2021-08-31,,
7c1bc2cd0c3aaa910934e48284a671ab,,article-4-direction,,,,local-authority-eng:BRY,article-4-direction,2021-08-31,,
