resource,bytes,organisations,endpoints,start-date,end-date
89632d544d34d2745cbfc2ec034fbdae2a74c235ea07acd67d920c4cebddc3c0,556543300,government-organisation:PB202,a623eb0a63ee1bbdb778f6e83ea2e10271596aafebacfcd40272409d404b8e30,2021-05-26,
4b547b34097e08ee4a41df14429738870c4d0f2b09cd2669f3cbde96e6949fba,87327582,government-organisation:PB202,4ecea72eff7de59214fa5919fa011081919d523601656fabd053e2a5e19fa96d,2021-05-25,
223b31dab8f2af16bd637db4be4e17239a7405a5f585200610c05cd64440c988,5123,local-authority-eng:BUC;local-authority-eng:LBH;local-authority-eng:SWK,a87e5975ea7cddd88764f557ad4880e06b58a480cb7bace2da8bcf3c1e5c92ba,2021-02-02,
0001a1baf9ddd7505cfef2e671292122de73a44299e5f5e584e9ec1514c0181c,14983,local-authority-eng:TEI,2d910b7c3c7e1f87b2662f644863d66e52f0c80166d9304187491ea2e6f43643,2020-03-13,2020-08-13
000b261f1757b69b9435ec20bae8f2b141677d17c054f01b187c8952e117db33,5573,local-authority-eng:PUR,ebf97bd43269f3cd64b503c68e4214946c7e33174fa0bf5135160046f944ab27;fab8e79f5638d18cd31f4ffbeda260e42c31eaac184c5e2fa11ee5c7fffb218e,2018-05-22,2018-07-31
01397495c581be47ae1fbb0d368e3d336927a8b3ff1410d4a2be4faac0481861,32741,local-authority-eng:ROT,2638d2e8a6dab627c53f829a5374fd48b25a1df1792d469f6ee126c6f4c1c953,2020-12-21,
017e3b44963d14c281e04af55afc6715f18d77f628e6e3a41e9861915b79283c,12112,local-authority-eng:GOS,d46f17f0731ec70de00ade53bca1dfe7be33bcf8304b57bbd7b6897bfba850e6,2019-10-24,2019-11-02
01c922a3f33dda8ce6b5ab57a5522319157911a039a6441699ed40984555e094,15912,local-authority-eng:TAW,60b42f42b1b2bfa101fa5c5b97126ddae0741eb9ecbf916f47f6818310c1206d,2018-05-22,
01da6cf132ec4520a3a2e8fa8a13fa0c5dc2b09dee01b4f739950905703093b7,4833,local-authority-eng:DAV,d197adb8a5cae279baad3492689bdb3517c6fa1d99ef106ca0035453fcb20273,2020-03-19,2020-04-08
0219993638d3c37f053f2297c1d34e9767a23326c8e24b7ebec770d1e39c003a,36540,local-authority-eng:PTE,6008c5dd6292615222e82edf1c392a42a30d40401e9f3cb03781f02d62c59736,2018-05-22,
024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748,12199,local-authority-eng:SBU,024ad59af8227d3c99024a506a1a87cd9106174b96e732a82d2e82579a377baa,2019-12-01,
0259cede12dc82d0c4cef68f444d2a1ae3a3d718787f8cdb8ff1fc05243ae004,44806,local-authority-eng:BAN,fe585c59ca2a9e2f386cfd20c41b8393b88307ff489b4674c28670a52ed75916,2019-11-28,
026dd247d90ccc76f9359364a2b20b08142e3b9e8c75f564f4659264df489a7e,17317,local-authority-eng:SNR,03c638874d3c43a497ed10ceba3142d25d555f42f22c855d7d31fac7b95efe6e,2020-10-19,
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,14053,local-authority-eng:MEL,a00e9b37982c07846439883c5fe6bab8002f67bf87feeef6715cd5552bc059d4,2019-11-30,2021-09-02
02f2cce9ee3f63f69e74262e5350d553f05805d49645b7c9823d778e86012090,10418,local-authority-eng:COP,9bb49d2edb197888e688b36cf91cb6f68cd25b640bd5863a9929e29c685ba81f,2019-12-27,2020-03-22
03726e130e26ec9d2309dcd1e9a3d8c258047f15331dbbab10da0a6d711cd9fd,21542,local-authority-eng:WOK,0eb8e8e249606cf5295ae92c5d24e3104c37296b8db2ae970e47959a2662c899,2019-10-20,2019-11-25
